iter	Passed	Remaining
398	73285	18550
399	73462	18365
400	73639	18180
401	73819	17995
402	74007	17813
403	74188	17628
404	74365	17443
405	74544	17259
406	74726	17075
407	74906	16890
408	75088	16706
409	75271	16523
410	75454	16339
411	75631	16154
412	75816	15971
413	76000	15787
414	76177	15602
415	76355	15417
416	76534	15233
417	76715	15049
418	76893	14864
419	77072	14680
420	77252	14496
421	77432	14312
422	77610	14127
423	77786	13942
424	77969	13759
425	78155	13576
426	78334	13392
427	78511	13207
428	78692	13023
429	78873	12839
430	79055	12656
431	79237	12472
432	79418	12288
433	79598	12104
434	79781	11921
435	79973	11739
436	80156	11555
437	80343	11372
438	80527	11189
439	80711	11006
440	80894	10822
441	81079	10639
442	81269	10456
443	81455	10273
444	81634	10089
445	81819	9906
446	82005	9723
447	82188	9539
448	82379	9357
449	82568	9174
450	82750	8990
451	82937	8807
452	83122	8624
453	83306	8440
454	83486	8256
455	83666	8073
456	83844	7889
457	84022	7705
458	84205	7521
459	84398	7338
460	84578	7155
461	84759	6971
462	84936	6787
463	85118	6603
464	85299	6420
465	85488	6237
466	85670	6053
467	85854	5870
468	86037	5686
469	86217	5503
470	86398	5319
471	86594	5136
472	86780	4953
473	86969	4770
474	87154	4587
475	87342	4403
476	87531	4220
477	87717	4037
478	87897	3853
479	88076	3669
480	88267	3486
481	88452	3303
482	88623	3119
483	88794	2935
484	88971	2751
485	89161	2568
486	89358	2385
487	89545	2201
488	89738	2018
489	89928	1835
490	90121	1651
491	90311	1468
492	90497	1284
493	90697	1101
494	90885	918
495	91072	734
496	91259	550
497	91458	367
498	91650	183
499	91845	0
