iter	Passed	Remaining
398	122104	30908
399	122416	30604
400	122726	30299
401	123043	29995
402	123365	29693
403	123676	29388
404	123998	29086
405	124313	28781
406	124623	28476
407	124935	28171
408	125261	27869
409	125570	27564
410	125883	27259
411	126201	26955
412	126519	26651
413	126835	26347
414	127145	26041
415	127464	25738
416	127778	25433
417	128098	25129
418	128421	24826
419	128729	24519
420	129042	24214
421	129357	23909
422	129674	23605
423	129988	23299
424	130289	22992
425	130600	22686
426	130952	22387
427	131290	22086
428	131596	21779
429	131893	21471
430	132200	21164
431	132502	20856
432	132805	20549
433	133108	20242
434	133405	19934
435	133705	19626
436	133998	19317
437	134297	19010
438	134600	18703
439	134903	18395
440	135203	18088
441	135508	17781
442	135806	17473
443	136106	17166
444	136405	16859
445	136703	16551
446	137004	16244
447	137307	15937
448	137605	15630
449	137911	15323
450	138209	15016
451	138509	14708
452	138813	14402
453	139117	14095
454	139416	13788
455	139714	13481
456	140014	13174
457	140312	12867
458	140617	12560
459	140926	12254
460	141228	11947
461	141531	11641
462	141835	11334
463	142136	11027
464	142439	10721
465	142737	10414
466	143039	10107
467	143338	9800
468	143638	9494
469	143939	9187
470	144245	8881
471	144544	8574
472	144838	8267
473	145136	7961
474	145436	7654
475	145733	7347
476	146031	7041
477	146328	6734
478	146630	6428
479	146928	6122
480	147233	5815
481	147531	5509
482	147829	5203
483	148131	4896
484	148431	4590
485	148741	4284
486	149042	3978
487	149341	3672
488	149641	3366
489	149955	3060
490	150253	2754
491	150555	2448
492	150855	2141
493	151157	1835
494	151456	1529
495	151757	1223
496	152055	917
497	152353	611
498	152654	305
499	152950	0
